client_region,service_region,technology,mode,round,scenario,clients,requests_per_client,total_requests,success,errors,duration_ms,throughput_rps,avg_latency_ms,min_latency_ms,p50_latency_ms,p95_latency_ms,max_latency_ms,source_file
france,poland,rest,baseline,1,baseline-c1-r20,1,20,20,20,0,1714,11.669,70.772,62.248,67.934,80.930,81.466,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-rest-baseline-r1.csv
france,poland,rest,increasing,1,increasing-c1-r50,1,50,50,50,0,3986,12.544,66.278,58.010,65.386,77.965,84.207,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-rest-increasing-r1.csv
france,poland,rest,increasing,1,increasing-c5-r50,5,50,250,250,0,5509,45.380,66.448,54.048,65.851,75.916,93.771,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-rest-increasing-r1.csv
france,poland,rest,increasing,1,increasing-c10-r50,10,50,500,500,0,8009,62.430,66.802,53.227,65.936,77.881,86.960,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-rest-increasing-r1.csv
france,poland,rest,increasing,1,increasing-c20-r50,20,50,1000,1000,0,12994,76.959,70.963,54.581,69.917,85.211,110.182,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-rest-increasing-r1.csv
france,poland,rest,stress,1,stress-c20-r100,20,100,2000,2000,0,25704,77.809,69.870,52.404,68.967,83.637,112.158,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-rest-stress-r1.csv
france,poland,rest,stress,1,stress-c40-r100,40,100,4000,3937,63,103927,38.489,724.838,50.799,76.133,5066.626,15000.000,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-rest-stress-r1.csv
france,poland,rest,stress,1,stress-c80-r100,80,100,8000,7823,177,154159,51.894,790.891,50.661,105.563,5081.254,15000.000,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-rest-stress-r1.csv
france,poland,soap,baseline,1,baseline-c1-r20,1,20,20,20,0,1658,12.063,69.032,59.774,66.833,79.166,80.494,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-soap-baseline-r1.csv
france,poland,soap,increasing,1,increasing-c1-r50,1,50,50,50,0,9018,5.544,167.250,57.146,63.949,1091.940,1128.015,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-soap-increasing-r1.csv
france,poland,soap,increasing,1,increasing-c5-r50,5,50,250,250,0,7853,31.835,89.430,54.256,64.589,76.121,1121.282,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-soap-increasing-r1.csv
france,poland,soap,increasing,1,increasing-c10-r50,10,50,500,500,0,9528,52.477,96.370,54.600,64.863,80.767,3136.874,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-soap-increasing-r1.csv
france,poland,soap,increasing,1,increasing-c20-r50,20,50,1000,1000,0,13345,74.934,72.364,54.762,71.408,87.177,100.973,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-poland-soap-increasing-r1.csv
france,sweden,rmi,baseline,1,baseline-c1-r20,1,20,20,20,0,1570,12.739,36.814,33.208,33.844,42.181,82.307,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-sweden-rmi-baseline-r1.csv
france,sweden,rmi,increasing,1,increasing-c1-r50,1,50,50,50,0,2664,18.769,39.941,37.235,38.667,41.996,88.779,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-sweden-rmi-increasing-r1.csv
france,sweden,rmi,increasing,1,increasing-c5-r50,5,50,250,250,0,7847,31.859,37.035,32.898,35.287,38.873,123.646,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-sweden-rmi-increasing-r1.csv
france,sweden,rmi,increasing,1,increasing-c10-r50,10,50,500,500,0,6035,82.850,41.247,31.391,36.845,47.764,261.089,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-sweden-rmi-increasing-r1.csv
france,sweden,rmi,increasing,1,increasing-c20-r50,20,50,1000,0,1000,173674,5.758,30000.000,30000.000,30000.000,30000.000,30000.000,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/france-to-sweden-rmi-increasing-r1.csv
norway,poland,rest,baseline,1,baseline-c1-r20,1,20,20,20,0,1449,13.803,59.575,53.856,57.241,68.227,72.204,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-rest-baseline-r1.csv
norway,poland,rest,increasing,1,increasing-c1-r50,1,50,50,50,0,3444,14.518,57.769,53.965,56.767,61.360,62.682,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-rest-increasing-r1.csv
norway,poland,rest,increasing,1,increasing-c5-r50,5,50,250,250,0,5225,47.847,58.614,53.440,58.037,63.590,72.615,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-rest-increasing-r1.csv
norway,poland,rest,increasing,1,increasing-c10-r50,10,50,500,500,0,7496,66.702,61.321,53.188,60.539,68.548,77.086,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-rest-increasing-r1.csv
norway,poland,rest,increasing,1,increasing-c20-r50,20,50,1000,1000,0,11076,90.285,67.719,54.504,66.558,80.570,103.902,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-rest-increasing-r1.csv
norway,poland,rest,stress,1,stress-c20-r100,20,100,2000,2000,0,22214,90.033,66.682,54.039,65.585,78.215,106.509,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-rest-stress-r1.csv
norway,poland,rest,stress,1,stress-c40-r100,40,100,4000,3887,113,107700,37.140,906.683,52.101,68.439,5075.968,15000.000,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-rest-stress-r1.csv
norway,poland,rest,stress,1,stress-c80-r100,80,100,8000,7685,315,151020,52.973,1107.260,51.920,102.492,10061.261,15000.000,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-rest-stress-r1.csv
norway,poland,soap,baseline,1,baseline-c1-r20,1,20,20,20,0,1392,14.368,58.281,55.952,57.384,61.689,61.721,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-soap-baseline-r1.csv
norway,poland,soap,increasing,1,increasing-c1-r50,1,50,50,50,0,8503,5.880,158.971,55.101,58.368,62.808,5058.505,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-soap-increasing-r1.csv
norway,poland,soap,increasing,1,increasing-c5-r50,5,50,250,250,0,5291,47.250,60.603,53.778,60.145,66.512,70.621,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-soap-increasing-r1.csv
norway,poland,soap,increasing,1,increasing-c10-r50,10,50,500,500,0,7541,66.304,63.268,53.695,62.395,71.418,83.259,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-soap-increasing-r1.csv
norway,poland,soap,increasing,1,increasing-c20-r50,20,50,1000,1000,0,14696,68.046,80.952,53.975,66.870,80.574,6110.835,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-poland-soap-increasing-r1.csv
norway,sweden,rmi,baseline,1,baseline-c1-r20,1,20,20,20,0,865,23.121,12.040,8.929,9.731,18.918,39.722,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-sweden-rmi-baseline-r1.csv
norway,sweden,rmi,increasing,1,increasing-c1-r50,1,50,50,50,0,918,54.466,10.325,9.024,9.687,11.631,30.902,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-sweden-rmi-increasing-r1.csv
norway,sweden,rmi,increasing,1,increasing-c5-r50,5,50,250,250,0,2168,115.314,12.293,8.652,10.161,20.036,79.934,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-sweden-rmi-increasing-r1.csv
norway,sweden,rmi,increasing,1,increasing-c10-r50,10,50,500,500,0,4636,107.852,23.269,9.049,14.414,42.811,197.578,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-sweden-rmi-increasing-r1.csv
norway,sweden,rmi,increasing,1,increasing-c20-r50,20,50,1000,0,1000,725395,1.379,30000.000,30000.000,30000.000,30000.000,30000.000,/home/parallels/Desktop/dsgt/tests/results/4vm-20260402T142553Z/norway-to-sweden-rmi-increasing-r1.csv
